subject,attribute,value
hu00147A,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu00147A,download_type,archive
hu00147A,archive_member_count,1
hu00147A,archive_content,name_is_genome_mumble_txt
hu00147A,member_name,genome_marty_williams_Full_20110727080856.txt
hu00147A,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu00147A,member_type,text
hu00147A,text_file_subtype,23andMe
hu002B3C,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu002B3C,download_type,archive
hu002B3C,archive_member_count,1
hu002B3C,archive_content,other_name
hu002B3C,member_name,23andme_genome.txt
hu002B3C,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu002B3C,member_type,text
hu002B3C,text_file_subtype,23andMe
hu011C57,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu011C57,download_type,text
hu011C57,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu011C57,member_type,text
hu011C57,text_file_subtype,23andMe
hu016B28,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu016B28,download_type,archive
hu016B28,archive_member_count,1
hu016B28,archive_content,name_is_genome_mumble_txt
hu016B28,member_name,genome_James_Turner_V__Full_20110110071020.txt
hu016B28,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu016B28,member_type,text
hu016B28,text_file_subtype,23andMe
hu0199C8,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0199C8,download_type,text
hu0199C8,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0199C8,member_type,text
hu0199C8,text_file_subtype,23andMe
hu019BBA,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu019BBA,download_type,archive
hu019BBA,archive_member_count,1
hu019BBA,archive_content,name_is_genome_mumble_txt
hu019BBA,member_name,genome_Jen_Anderson_Full_20110727105742.txt
hu019BBA,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu019BBA,member_type,text
hu019BBA,text_file_subtype,23andMe
hu01FB26,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu01FB26,download_type,archive
hu01FB26,archive_member_count,1
hu01FB26,archive_content,name_is_genome_mumble_txt
hu01FB26,member_name,genome_Emma_Borhanian_v4_Full_20160924182519.txt
hu01FB26,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu01FB26,member_type,text
hu01FB26,text_file_subtype,23andMe
hu02100D,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu02100D,download_type,archive
hu02100D,archive_member_count,1
hu02100D,archive_content,name_is_genome_mumble_txt
hu02100D,member_name,genome_Adam_Davidson_Full_20150524125003.txt
hu02100D,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu02100D,member_type,text
hu02100D,text_file_subtype,23andMe
hu024B5D,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu024B5D,download_type,archive
hu024B5D,archive_member_count,1
hu024B5D,archive_content,name_is_genome_mumble_txt
hu024B5D,member_name,genome_victoria_southwell_Full_20140302085631.txt
hu024B5D,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu024B5D,member_type,text
hu024B5D,text_file_subtype,23andMe
hu0257DA,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0257DA,download_type,text
hu0257DA,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0257DA,member_type,text
hu0257DA,text_file_subtype,23andMe
hu025CEA,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu025CEA,download_type,text
hu025CEA,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu025CEA,member_type,text
hu025CEA,text_file_subtype,23andMe
hu026DEA,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu026DEA,download_type,archive
hu026DEA,archive_member_count,1
hu026DEA,archive_content,name_is_genome_mumble_txt
hu026DEA,member_name,genome_dc0_Full_20151216225422.txt
hu026DEA,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu026DEA,member_type,text
hu026DEA,text_file_subtype,23andMe
hu032C04,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu032C04,download_type,text
hu032C04,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu032C04,member_type,text
hu032C04,text_file_subtype,23andMe
hu034DB1,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu034DB1,download_type,text
hu034DB1,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu034DB1,member_type,text
hu034DB1,text_file_subtype,23andMe
hu0369A1,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu0369A1,download_type,archive
hu0369A1,archive_member_count,1
hu0369A1,archive_content,name_is_genome_mumble_txt
hu0369A1,member_name,genome_Tyler_Holmes_Full_20120308210826.txt
hu0369A1,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0369A1,member_type,text
hu0369A1,text_file_subtype,23andMe
hu0486D6,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu0486D6,download_type,archive
hu0486D6,archive_member_count,1
hu0486D6,archive_content,name_is_genome_mumble_txt
hu0486D6,member_name,genome_David_Glazer_Full_20140202085913.txt
hu0486D6,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0486D6,member_type,text
hu0486D6,text_file_subtype,23andMe
hu0515BA,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0515BA,download_type,text
hu0515BA,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0515BA,member_type,text
hu0515BA,text_file_subtype,23andMe
hu051AAE,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu051AAE,download_type,archive
hu051AAE,archive_member_count,1
hu051AAE,archive_content,name_is_genome_mumble_txt
hu051AAE,member_name,genome_Selby_Kendrick_Full_20131125163020.txt
hu051AAE,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu051AAE,member_type,text
hu051AAE,text_file_subtype,23andMe
